EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	10:30:42	0	0.0001	1.5142580227749165	0.7853513956069946	0.0536	0.008	0.014	0.0073
2	10:50:44	1	0.0001	0.7577589276578589	0.7275858521461487	0.0553	0.0077	0.0135	0.007
3	11:11:41	0	0.0001	0.6859316772907067	0.656195342540741	0.0873	0.0201	0.0327	0.0173
4	11:31:44	0	0.0001	0.6398511917384128	0.5941521525382996	0.1114	0.0398	0.0587	0.0327
5	11:51:38	0	0.0001	0.601447410401121	0.5410542488098145	0.3254	0.1529	0.2081	0.1258
6	12:11:31	0	0.0001	0.5657211111844155	0.4932745695114136	0.3604	0.1973	0.255	0.1608
7	12:31:17	0	0.0001	0.5322949598563805	0.4486004412174225	0.3878	0.2417	0.2978	0.1939
8	00:13:06	0	0.0001	0.5001402649020213	0.4066530466079712	0.4892	0.3848	0.4308	0.3051
9	00:32:54	0	0.0001	0.46731597980053846	0.3682722747325897	0.5599	0.4806	0.5172	0.3885
10	00:53:30	0	0.0001	0.4356911503448028	0.3339107930660248	0.5783	0.5358	0.5562	0.4261
11	01:13:20	0	0.0001	0.40734259450994953	0.30350756645202637	0.5943	0.5676	0.5807	0.4501
12	01:33:10	0	0.0001	0.38140286402849044	0.27695003151893616	0.6566	0.6505	0.6535	0.519
13	01:53:12	0	0.0001	0.35711213478837345	0.25407758355140686	0.709	0.7342	0.7214	0.5864
14	02:13:06	0	0.0001	0.33550015341338957	0.2344198375940323	0.7428	0.7988	0.7698	0.6456
15	02:32:53	0	0.0001	0.3168464183746768	0.21755041182041168	0.7826	0.856	0.8176	0.7057
16	02:52:40	0	0.0001	0.2999237211649658	0.2033800482749939	0.8003	0.8812	0.8388	0.7325
17	03:12:27	0	0.0001	0.28481566547355647	0.19140124320983887	0.8141	0.8915	0.851	0.7499
